contrast 0,contrast 45,contrast 90,contrast 135,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,asm 0,asm 45,asm 90,asm 135,energy 0,energy 45,energy 90,energy 135,corelation 0,corelation 45,corelation 90,corelation 135,label
10897.940879428203,10898.58794032176,10901.084430180696,10898.492115942272,85.30190363837822,85.30596299028817,85.31520707318184,85.30413240343397,0.011464549110784253,0.011453965292756798,0.011406456066224887,0.0114521600488146,1.5469672946820054e-05,1.5467570785300192e-05,1.5473082174662785e-05,1.5466271696498352e-05,0.0039331505115899204,0.003932883266167481,0.003933583884279422,0.003932718105394582,-0.0007402996201013177,-0.0008529323532853693,-0.001025343890732477,-0.000782659163544673,Bishop
10908.47873664094,10906.91751464845,10903.707269456276,10908.01091716617,85.38052908800061,85.37716656924006,85.37152369729964,85.38129908715231,0.010856213487640666,0.010843116691637757,0.01084541688502382,0.01084093527741644,1.5571550272984382e-05,1.5578995722981832e-05,1.560212562616124e-05,1.5578047778229017e-05,0.0039460803682875465,0.003947023653714509,0.003949952610622213,0.003946903568397512,-0.003485018592160111,-0.0034637578532373163,-0.0034999147525684436,-0.0035557854551434786,Bishop
11071.946596012262,11061.58451427066,11074.693389455857,11064.989425580308,86.3603338044007,86.32501001744419,86.41570855278943,86.34203072016805,0.010130894235478449,0.008563455047610807,0.00776503990025209,0.008551131643094553,1.631596772630991e-05,1.6225380965238005e-05,1.6237230845913623e-05,1.6238825689311034e-05,0.00403930287627827,0.004028074101259559,0.004029544744250102,0.004029742633135649,-0.019331326047953394,-0.01763995996751068,-0.019644520441329756,-0.018537737749363382,Bishop
11393.769912838876,11389.026526581394,11445.340720848086,11374.850863365846,88.55654480854795,88.5881383848961,88.95561099506247,88.49054278127107,0.002653299453116243,0.002593152231954095,0.00293945287938439,0.002404037678199088,1.8962835453526986e-05,1.8978119450246925e-05,1.959558099560794e-05,1.885582489706845e-05,0.004354633790977949,0.004356388349337892,0.004426689620428333,0.004342329432121479,-0.07823604833738747,-0.07929450145774417,-0.09211711265975554,-0.07658847743454882,Bishop
10943.218835399073,10966.534901755336,10965.266903157119,10962.964162901239,85.8177813930701,85.87189349791147,85.87260655190883,85.8435964533404,0.009245822091808357,0.009141479791885098,0.009137103101321908,0.009105161604635878,1.623114571261054e-05,1.6118230375626864e-05,1.613472263204877e-05,1.6082851477136438e-05,0.004028789608878892,0.004014751595756189,0.004016805027885816,0.004010343062274902,-0.02179461770149857,-0.021417312930521685,-0.02155082906283891,-0.02035457345794795,Bishop
12264.505543130883,12181.665292868616,12386.071103760783,12170.530475077134,94.91957673131604,94.31107179588668,95.52645547741098,94.26654206779992,-0.010410539667091538,-0.01019985454657691,-0.008037396455992014,-0.010687934232089493,2.2979585781752347e-05,2.267735468359143e-05,2.3622724301631464e-05,2.257491524243587e-05,0.004793702721462017,0.004762074619700056,0.004860321419580341,0.004751306687895012,-0.1726181666299429,-0.151227261623056,-0.1739091847659736,-0.14089494676574024,Bishop
10904.16350029998,10908.945303188539,10907.617248833487,10910.477612028513,85.50358898779596,85.51500449752858,85.52177182875904,85.52813703648896,0.009966569567148822,0.009874799431255882,0.00981447591456977,0.00985918327038008,1.5867607243121308e-05,1.583533789596352e-05,1.582798442816305e-05,1.58442423101224e-05,0.00398341652895116,0.003979364006466802,0.003978439949045737,0.003980482673008689,-0.009539134473865845,-0.009611170717855248,-0.010067629477776572,-0.010077601647575707,Bishop
11958.44415207207,11869.547206562858,11920.390011463767,11857.364170038754,92.45122971033759,91.88915704159024,92.15162617436256,91.76623205480514,-0.003610684227259022,-0.003041815469083354,-0.0016259133365003463,-0.0026688173452794105,2.201722927375636e-05,2.1453583982218007e-05,2.2016084768610107e-05,2.1372147112293072e-05,0.00469225204712581,0.004631801375514499,0.004692130088628203,0.004623001958932429,-0.1070597901171462,-0.09685951066462367,-0.1032145097238665,-0.09308788702679317,Bishop
10929.20451293383,10938.874563758198,10938.16842017109,10938.748349951711,85.60112441806213,85.63920786176557,85.65688960110734,85.62783494231198,0.009869552592942133,0.009820067891027394,0.009797779021124525,0.009786655131551367,1.5855700881508626e-05,1.5862170762307992e-05,1.590674923666796e-05,1.5849154952261648e-05,0.00398192175733133,0.003982734081294907,0.003988326621111661,0.003981099716442889,-0.011822572636321485,-0.012702797062336102,-0.013662141937282997,-0.012104891330970402,Bishop
11096.976863384922,11106.23156041783,11068.559092964239,11108.320007186052,86.8758359715004,86.90014007032991,86.77049912565165,86.90215284386385,0.006536885175821241,0.006257318415233231,0.006380913988021656,0.006197475908504245,1.702459201611998e-05,1.694997212131913e-05,1.7012177308049847e-05,1.698163928364268e-05,0.00412608676788552,0.004117034384277004,0.004124582076774548,0.004120878460188153,-0.05265633700067399,-0.05137349592921632,-0.048945485290990604,-0.05115281079559764,Bishop
11371.232727926323,11332.61942347274,11347.090639702192,11346.65253557547,88.3459734847196,88.13157947798628,88.15432066654898,88.20790594316988,0.00631348831973125,0.005335557191505673,0.005736508818905425,0.005452833204354335,1.758369318360214e-05,1.7519114933743674e-05,1.767125322195885e-05,1.7526354709901884e-05,0.004193291449875878,0.004185584180702101,0.0042037189751408036,0.004186448937930795,-0.007631293598122787,-0.007729355011664046,-0.008011227428025342,-0.007968266662869209,Bishop
11011.46428794695,11016.777549927385,11002.759842903382,11019.022642777054,85.9686555488273,86.03654159121407,85.93119653077576,86.05305419652834,0.009278403297943496,0.009353113971812385,0.00989974851303095,0.009302118101775125,1.631734847970523e-05,1.6695213820832207e-05,1.6630014611766595e-05,1.670710281225848e-05,0.004039473787475942,0.004085977706844741,0.004077991492360742,0.004087432300633061,-0.0029747529340153032,-0.0021872050152780993,-0.0017739191220605488,-0.002300109009654105,Bishop
